GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EligibilityDetails,com.ed.Swagger,SwaggerConfig,0,15,0,0,0,2,0,2,0,2
EligibilityDetails,com.ed.controller,EDController,0,28,0,0,0,7,0,3,0,3
EligibilityDetails,com.ed.Service,EducationServiceImpl,0,369,8,36,0,93,8,18,0,4
